What is Hathor Network (HTR): An Alternative Scalable Cryptocurrency - Phemex Academy,https://phemex.com/academy/what-is-hathor-network-htr-coin,29.25,Satoshi Nakamoto| Bitcoin| CoinMarketCap Hathor| Litecoin| Nicolas Tang Date| Vitalik Buterin| Ankr| Marcelo Brogliato| Eric Nichols| Sebastian Bürgel| his| Brogliato| Ethereum| Yan Martins| Layla Mendes| Hathor| He| Nakamoto,Hathor Network| Bitcoin Gold| IME| Google| Lightning Network| Hathor Labs Token Economics| Bitcoin| HTR| Ethereum Foundation| Vialink Informatica| Hathor Network Grant Program| Stanford| Hathor Labs| BTG| FGV| DEX| Ethereum| Microsoft| LTC| NFT| Hathor Foundation| CTO| Phemex,candidate| Author| developer| CEO| CFO
Basics of Microservice Architecture,https://ajay-yadav109458.medium.com/basics-of-microservice-architecture-208ed81c558d,10.0,,,
Introduction to Event-Driven Architecture,https://medium.com/microservicegeeks/introduction-to-event-driven-architecture-e94ef442d824,24.0,Kafka| Apache Kafka| Rube Goldburg,CQRS| EDA| Twitter| EDA Limited,Model| producer| model| broker| processor
Cellino Develops Scalable Closed-Loop System for Autologous Stem Cell Manufacturing | BioSpace,https://www.biospace.com/article/cellino-develops-scalable-closed-loop-system-for-autologous-stem-cell-manufacturing/,10.75,she| Saklayen| Cellino| Gail Dutton Cellino Biotech| Nabiha Saklayen,Harvard Stem Cell Institute| Harvard Medical School| Cellino Biotech| Harvard University,model| CEO
Don't use docker use kubernetes,https://jenkins-x.io/blog/2021/05/17/dont-use-docker/,16.75,Jenkins|James Strachan|James Ward,Google|Production Preview Environments|GitOps,orchestrator|tier|vendor|guide
Why the Serverless Revolution Has Stalled ,https://www.infoq.com/articles/serverless-stalled/,24.5,Bernard Brode,Viva la Revolucion|Microscopic Machines|Google App Engine,researcher|host|Author|model|wrapper|Vendor
Kubernetes Reads | Rookout,https://www.rookout.com/blog/kubernetes-reads,11.75,Tal Koren| she| She| his| Anais Urlichs| Anais| Dustin Specker| Chris Short| Liz Rice| he| He| Kevin Sookocheff| Kubernetes,Tech News DevOpsIsh| Twitter| Kubernetes Training Learnk8s,general| curator| Guide| author| ambassador| Model| blogger| Ambassador| developer
Edge Computing Overview and Some Applications,https://aws.plainenglish.io/edge-computing-overview-and-some-applications-38c0c8bdad57,12.5,Siri,Google| Amazon Alexa| Amazon| CDN,general| assistant
6 Event-Driven Architecture Patterns — Part 1,https://medium.com/wix-engineering/6-event-driven-architecture-patterns-part-1-93758b253f47,18.5,Cassandra|Kafka|Denys Nevozhai|Redis,CDC|CSV|Wix Stores|Installed Apps Context|Wix Restaurants,owner|importer|manager|model|writer|Manager|Importer
The Evolution of the Serverless-First Engineer - The New Stack,https://thenewstack.io/the-evolution-of-the-serverless-first-engineer/,66.25,Matthew Skelton| Manuel Pais| Royal Albert Hall| David Anderson Fauna| David| Werner Vogels| Dobbs| He| Larry Smith,Liberty Mutual| Amazon CTO| DORA| Ericsson| Nokia| Cosmos DB,leader| king| programmer| mobile| Developer| Rockstar| engineer| layer| Engineer| specialist| vendor| software engineer| developer| model| guitarist
